date,session_key,driver_number,meeting_key,interval,gap_to_leader
2026-08-22T10:04:03.363000+00:00,11348,16,1292,0.646,1.808
2026-08-22T10:04:03.414000+00:00,11348,27,1292,0.327,7.311
2026-08-22T10:04:03.588000+00:00,11348,14,1292,0.587,11.809
2026-08-22T10:04:03.776000+00:00,11348,41,1292,0.409,4.889
2026-08-22T10:04:03.869000+00:00,11348,18,1292,0.378,7.689
2026-08-22T10:04:03.894000+00:00,11348,12,1292,0.461,2.269
2026-08-22T10:04:03.915000+00:00,11348,30,1292,0.161,5.05
2026-08-22T10:04:04.025000+00:00,11348,77,1292,0.279,7.968
2026-08-22T10:04:04.212000+00:00,11348,81,1292,0.382,2.651
2026-08-22T10:04:04.491000+00:00,11348,43,1292,0.639,5.689
2026-08-22T10:04:04.625000+00:00,11348,3,1292,0.388,3.039
2026-08-22T10:04:04.751000+00:00,11348,22,1292,0.299,5.988
2026-08-22T10:04:05.178000+00:00,11348,44,1292,0.583,3.622
2026-08-22T10:04:05.335000+00:00,11348,31,1292,0.537,6.525
2026-08-22T10:04:05.678000+00:00,11348,87,1292,0.401,6.926
2026-08-22T10:04:05.850000+00:00,11348,10,1292,0.653,4.275
2026-08-22T10:04:06.069000+00:00,11348,23,1292,0.366,7.292
2026-08-22T10:04:06.288000+00:00,11348,5,1292,0.429,4.704
2026-08-22T10:04:06.366000+00:00,11348,27,1292,0.305,7.597
2026-08-22T10:04:06.788000+00:00,11348,18,1292,0.404,8.001
2026-08-22T10:04:07.038000+00:00,11348,41,1292,0.762,5.466
2026-08-22T10:04:07.085000+00:00,11348,30,1292,0.035,5.501
2026-08-22T10:04:07.288000+00:00,11348,77,1292,0.482,8.483
2026-08-22T10:04:07.553000+00:00,11348,55,1292,3.488,11.456
2026-08-22T10:04:07.678000+00:00,11348,1,1292,1.157,1.157
2026-08-22T10:04:07.694000+00:00,11348,43,1292,0.628,6.129
2026-08-22T10:04:08.069000+00:00,11348,22,1292,0.364,6.493
2026-08-22T10:04:08.116000+00:00,11348,14,1292,0.602,12.058
2026-08-22T10:04:08.335000+00:00,11348,31,1292,0.297,6.79
2026-08-22T10:04:08.366000+00:00,11348,16,1292,0.667,1.824
2026-08-22T10:04:08.835000+00:00,11348,87,1292,0.472,7.262
2026-08-22T10:04:08.866000+00:00,11348,12,1292,0.498,2.322
2026-08-22T10:04:09.303000+00:00,11348,81,1292,0.399,2.721
2026-08-22T10:04:09.303000+00:00,11348,23,1292,0.484,7.746
2026-08-22T10:04:09.445000+00:00,11348,3,1292,0.191,2.912
2026-08-22T10:04:09.727000+00:00,11348,27,1292,0.406,8.152
2026-08-22T10:04:09.928000+00:00,11348,18,1292,0.183,8.335
2026-08-22T10:04:10.185000+00:00,11348,44,1292,0.733,3.645
2026-08-22T10:04:10.491000+00:00,11348,55,1292,3.226,11.709
2026-08-22T10:04:10.491000+00:00,11348,77,1292,0.578,8.913
2026-08-22T10:04:10.545000+00:00,11348,1,1292,1.234,1.234
2026-08-22T10:04:10.842000+00:00,11348,10,1292,0.663,4.308
2026-08-22T10:04:11.052000+00:00,11348,14,1292,0.569,12.278
2026-08-22T10:04:11.181000+00:00,11348,16,1292,0.625,1.859
2026-08-22T10:04:11.412000+00:00,11348,5,1292,0.565,4.873
2026-08-22T10:04:11.773000+00:00,11348,12,1292,0.557,2.416
2026-08-22T10:04:11.991000+00:00,11348,41,1292,0.559,5.432
2026-08-22T10:04:12.069000+00:00,11348,30,1292,0.101,5.533
2026-08-22T10:04:12.141000+00:00,11348,81,1292,0.39,2.806
2026-08-22T10:04:12.470000+00:00,11348,3,1292,0.311,3.117
2026-08-22T10:04:12.752000+00:00,11348,43,1292,0.685,6.218
2026-08-22T10:04:13.127000+00:00,11348,22,1292,0.376,6.594
2026-08-22T10:04:13.187000+00:00,11348,44,1292,0.734,3.851
2026-08-22T10:04:13.487000+00:00,11348,31,1292,0.337,6.931
2026-08-22T10:04:13.492000+00:00,11348,55,1292,3.027,11.94
2026-08-22T10:04:13.805000+00:00,11348,10,1292,0.615,4.466
2026-08-22T10:04:13.821000+00:00,11348,87,1292,0.354,7.285
2026-08-22T10:04:13.992000+00:00,11348,14,1292,0.509,12.449
2026-08-22T10:04:14.336000+00:00,11348,5,1292,0.557,5.023
2026-08-22T10:04:14.367000+00:00,11348,23,1292,0.539,7.824
2026-08-22T10:04:14.774000+00:00,11348,27,1292,0.402,8.226
2026-08-22T10:04:14.789000+00:00,11348,41,1292,0.429,5.452
2026-08-22T10:04:15.039000+00:00,11348,18,1292,0.276,8.502
2026-08-22T10:04:15.164000+00:00,11348,30,1292,0.376,5.828
2026-08-22T10:04:15.617000+00:00,11348,77,1292,0.569,9.071
2026-08-22T10:04:15.617000+00:00,11348,1,1292,1.224,1.224
2026-08-22T10:04:15.952000+00:00,11348,43,1292,0.788,6.616
2026-08-22T10:04:16.326000+00:00,11348,16,1292,0.703,1.927
2026-08-22T10:04:16.376000+00:00,11348,22,1292,0.422,7.038
2026-08-22T10:04:16.809000+00:00,11348,31,1292,0.431,7.469
2026-08-22T10:04:16.870000+00:00,11348,12,1292,0.545,2.472
2026-08-22T10:04:17.295000+00:00,11348,87,1292,0.498,7.967
2026-08-22T10:04:17.391000+00:00,11348,81,1292,0.54,3.012
2026-08-22T10:04:17.743000+00:00,11348,23,1292,0.429,8.396
2026-08-22T10:04:17.809000+00:00,11348,3,1292,0.403,3.415
2026-08-22T10:04:18.067000+00:00,11348,27,1292,0.347,8.743
2026-08-22T10:04:18.326000+00:00,11348,44,1292,0.516,3.931
2026-08-22T10:04:18.454000+00:00,11348,18,1292,0.387,9.13
2026-08-22T10:04:18.596000+00:00,11348,55,1292,2.992,12.063
2026-08-22T10:04:18.876000+00:00,11348,77,1292,0.421,9.551
2026-08-22T10:04:18.985000+00:00,11348,10,1292,0.632,4.563
2026-08-22T10:04:19.116000+00:00,11348,14,1292,0.518,12.581
2026-08-22T10:04:19.513000+00:00,11348,1,1292,1.185,1.185
2026-08-22T10:04:19.593000+00:00,11348,5,1292,0.62,5.183
2026-08-22T10:04:20.226000+00:00,11348,16,1292,0.722,1.907
2026-08-22T10:04:20.522000+00:00,11348,41,1292,0.905,6.088
2026-08-22T10:04:20.694000+00:00,11348,30,1292,0.207,6.295
2026-08-22T10:04:20.804000+00:00,11348,12,1292,0.579,2.486
2026-08-22T10:04:21.241000+00:00,11348,43,1292,0.551,6.846
2026-08-22T10:04:21.366000+00:00,11348,81,1292,0.568,3.054
2026-08-22T10:04:21.462000+00:00,11348,55,1292,2.576,12.127
2026-08-22T10:04:21.694000+00:00,11348,22,1292,0.458,7.304
2026-08-22T10:04:21.742000+00:00,11348,3,1292,0.37,3.424
2026-08-22T10:04:21.976000+00:00,11348,14,1292,0.522,12.649
2026-08-22T10:04:22.147000+00:00,11348,31,1292,0.445,7.749
2026-08-22T10:04:22.304000+00:00,11348,44,1292,0.573,3.997
2026-08-22T10:04:22.729000+00:00,11348,87,1292,0.585,8.334
2026-08-22T10:04:22.986000+00:00,11348,10,1292,0.681,4.678
2026-08-22T10:04:23.149000+00:00,11348,23,1292,0.417,8.751
2026-08-22T10:04:23.558000+00:00,11348,5,1292,0.579,5.257
2026-08-22T10:04:23.577000+00:00,11348,27,1292,0.428,9.179
2026-08-22T10:04:23.641000+00:00,11348,1,1292,1.171,1.171
2026-08-22T10:04:23.907000+00:00,11348,18,1292,0.337,9.516
2026-08-22T10:04:24.314000+00:00,11348,16,1292,0.7,1.871
2026-08-22T10:04:24.326000+00:00,11348,77,1292,0.423,9.939
2026-08-22T10:04:24.466000+00:00,11348,41,1292,0.884,6.141
2026-08-22T10:04:24.800000+00:00,11348,30,1292,0.336,6.477
2026-08-22T10:04:24.995000+00:00,11348,12,1292,0.672,2.543
2026-08-22T10:04:25.323000+00:00,11348,43,1292,0.532,7.009
2026-08-22T10:04:25.570000+00:00,11348,81,1292,0.614,3.157
2026-08-22T10:04:25.692000+00:00,11348,22,1292,0.369,7.378
2026-08-22T10:04:26.069000+00:00,11348,3,1292,0.434,3.591
2026-08-22T10:04:26.229000+00:00,11348,31,1292,0.54,7.918
2026-08-22T10:04:26.642000+00:00,11348,44,1292,0.545,4.136
2026-08-22T10:04:26.744000+00:00,11348,55,1292,2.4,12.339
2026-08-22T10:04:26.943000+00:00,11348,87,1292,0.606,8.524
2026-08-22T10:04:26.943000+00:00,11348,1,1292,1.149,1.149
2026-08-22T10:04:27.270000+00:00,11348,14,1292,0.441,12.78
2026-08-22T10:04:27.359000+00:00,11348,23,1292,0.475,8.999
2026-08-22T10:04:27.393000+00:00,11348,10,1292,0.758,4.894
2026-08-22T10:04:27.613000+00:00,11348,16,1292,0.692,1.841
