date,session_key,meeting_key,gap_to_leader,interval,driver_number,source_closure_retrieved_utc
2026-05-03T17:04:50.359000+00:00,11280,1284,3.142,0.572,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:50.386000+00:00,11280,1284,9.325,0.188,6,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:50.570000+00:00,11280,1284,6.092,0.319,10,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:50.701000+00:00,11280,1284,9.678,0.353,77,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:50.710000+00:00,11280,1284,6.253,0.161,23,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:50.918000+00:00,11280,1284,3.674,0.532,43,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:50.951000+00:00,11280,1284,6.511,0.258,31,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:51.050000+00:00,11280,1284,3.862,0.188,44,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:51.209000+00:00,11280,1284,6.739,0.228,87,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:51.540000+00:00,11280,1284,7.076,0.337,41,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:51.886000+00:00,11280,1284,7.428,0.352,18,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:52.001000+00:00,11280,1284,1.492,1.492,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:52.451000+00:00,11280,1284,5.248,1.386,30,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:52.538000+00:00,11280,1284,8.061,0.633,11,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:52.551000+00:00,11280,1284,2.026,0.534,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:52.653000+00:00,11280,1284,5.445,0.197,3,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:52.886000+00:00,11280,1284,5.631,0.186,55,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:52.935000+00:00,11280,1284,2.431,0.405,81,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:52.988000+00:00,11280,1284,8.53,0.469,27,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:53.138000+00:00,11280,1284,5.946,0.315,10,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:53.287000+00:00,11280,1284,6.086,0.14,23,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:53.456000+00:00,11280,1284,2.96,0.529,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:53.462000+00:00,11280,1284,,0.473,14,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:53.556000+00:00,11280,1284,6.357,0.271,31,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:53.583000+00:00,11280,1284,9.097,0.094,5,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:53.698000+00:00,11280,1284,9.226,0.129,6,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:53.810000+00:00,11280,1284,6.582,0.225,87,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:54.010000+00:00,11280,1284,3.502,0.542,43,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:54.062000+00:00,11280,1284,9.598,0.372,77,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:54.151000+00:00,11280,1284,6.953,0.371,41,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:54.186000+00:00,11280,1284,3.669,0.167,44,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:54.535000+00:00,11280,1284,7.345,0.392,18,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:55.183000+00:00,11280,1284,7.972,0.627,11,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:55.618000+00:00,11280,1284,8.428,0.456,27,2026-09-05T22:12:12.772471Z
