date,session_key,driver_number,position,meeting_key
2026-09-04T14:02:01.426000+00:00,11355,23,18,1293
2026-09-04T14:02:46.026000+00:00,11355,10,20,1293
2026-09-04T14:02:46.026000+00:00,11355,11,21,1293
2026-09-04T14:02:46.026000+00:00,11355,14,22,1293
2026-09-04T14:02:46.026000+00:00,11355,63,19,1293
2026-09-04T14:03:46.517000+00:00,11355,5,2,1293
2026-09-04T14:03:46.517000+00:00,11355,31,4,1293
2026-09-04T14:03:46.517000+00:00,11355,43,1,1293
2026-09-04T14:03:46.517000+00:00,11355,87,3,1293
2026-09-04T14:03:48.530000+00:00,11355,5,3,1293
2026-09-04T14:03:48.530000+00:00,11355,87,2,1293
2026-09-04T14:03:53.264000+00:00,11355,5,1,1293
2026-09-04T14:03:53.264000+00:00,11355,43,2,1293
2026-09-04T14:03:53.264000+00:00,11355,87,3,1293
2026-09-04T14:03:57.487000+00:00,11355,31,5,1293
2026-09-04T14:03:57.487000+00:00,11355,77,4,1293
2026-09-04T14:04:01.190000+00:00,11355,22,2,1293
2026-09-04T14:04:01.190000+00:00,11355,31,6,1293
2026-09-04T14:04:01.190000+00:00,11355,43,3,1293
2026-09-04T14:04:01.190000+00:00,11355,77,5,1293
2026-09-04T14:04:01.190000+00:00,11355,87,4,1293
2026-09-04T14:04:04.706000+00:00,11355,18,5,1293
2026-09-04T14:04:04.706000+00:00,11355,31,7,1293
2026-09-04T14:04:04.706000+00:00,11355,77,6,1293
2026-09-04T14:04:07.706000+00:00,11355,18,6,1293
2026-09-04T14:04:07.706000+00:00,11355,31,8,1293
2026-09-04T14:04:07.706000+00:00,11355,43,4,1293
2026-09-04T14:04:07.706000+00:00,11355,55,3,1293
2026-09-04T14:04:07.706000+00:00,11355,77,7,1293
2026-09-04T14:04:07.706000+00:00,11355,87,5,1293
2026-09-04T14:04:13.662000+00:00,11355,5,2,1293
2026-09-04T14:04:13.662000+00:00,11355,18,7,1293
2026-09-04T14:04:13.662000+00:00,11355,22,3,1293
2026-09-04T14:04:13.662000+00:00,11355,30,1,1293
2026-09-04T14:04:13.662000+00:00,11355,31,9,1293
2026-09-04T14:04:13.662000+00:00,11355,43,5,1293
2026-09-04T14:04:13.662000+00:00,11355,55,4,1293
2026-09-04T14:04:13.662000+00:00,11355,77,8,1293
2026-09-04T14:04:13.662000+00:00,11355,87,6,1293
2026-09-04T14:04:17.267000+00:00,11355,3,3,1293
2026-09-04T14:04:17.267000+00:00,11355,18,8,1293
2026-09-04T14:04:17.267000+00:00,11355,22,4,1293
2026-09-04T14:04:17.267000+00:00,11355,31,10,1293
2026-09-04T14:04:17.267000+00:00,11355,43,6,1293
2026-09-04T14:04:17.267000+00:00,11355,55,5,1293
2026-09-04T14:04:17.267000+00:00,11355,77,9,1293
2026-09-04T14:04:17.267000+00:00,11355,87,7,1293
2026-09-04T14:04:31.906000+00:00,11355,3,4,1293
2026-09-04T14:04:31.906000+00:00,11355,5,3,1293
2026-09-04T14:04:31.906000+00:00,11355,18,9,1293
2026-09-04T14:04:31.906000+00:00,11355,22,5,1293
2026-09-04T14:04:31.906000+00:00,11355,30,2,1293
2026-09-04T14:04:31.906000+00:00,11355,31,11,1293
2026-09-04T14:04:31.906000+00:00,11355,43,7,1293
2026-09-04T14:04:31.906000+00:00,11355,55,6,1293
2026-09-04T14:04:31.906000+00:00,11355,77,10,1293
2026-09-04T14:04:31.906000+00:00,11355,81,1,1293
2026-09-04T14:04:31.906000+00:00,11355,87,8,1293
2026-09-04T14:04:36.625000+00:00,11355,1,14,1293
2026-09-04T14:04:36.625000+00:00,11355,12,13,1293
2026-09-04T14:04:36.625000+00:00,11355,18,10,1293
2026-09-04T14:04:36.625000+00:00,11355,27,9,1293
2026-09-04T14:04:36.625000+00:00,11355,31,12,1293
2026-09-04T14:04:36.625000+00:00,11355,77,11,1293
2026-09-04T14:04:40.468000+00:00,11355,1,15,1293
2026-09-04T14:04:40.468000+00:00,11355,3,5,1293
2026-09-04T14:04:40.468000+00:00,11355,5,4,1293
2026-09-04T14:04:40.468000+00:00,11355,12,14,1293
2026-09-04T14:04:40.468000+00:00,11355,16,1,1293
2026-09-04T14:04:40.468000+00:00,11355,18,11,1293
2026-09-04T14:04:40.468000+00:00,11355,22,6,1293
2026-09-04T14:04:40.468000+00:00,11355,27,10,1293
2026-09-04T14:04:40.468000+00:00,11355,30,3,1293
2026-09-04T14:04:40.468000+00:00,11355,31,13,1293
2026-09-04T14:04:40.468000+00:00,11355,43,8,1293
2026-09-04T14:04:40.468000+00:00,11355,55,7,1293
2026-09-04T14:04:40.468000+00:00,11355,77,12,1293
2026-09-04T14:04:40.468000+00:00,11355,81,2,1293
2026-09-04T14:04:40.468000+00:00,11355,87,9,1293
2026-09-04T14:04:46.411000+00:00,11355,1,16,1293
2026-09-04T14:04:46.411000+00:00,11355,3,6,1293
2026-09-04T14:04:46.411000+00:00,11355,5,5,1293
2026-09-04T14:04:46.411000+00:00,11355,12,15,1293
2026-09-04T14:04:46.411000+00:00,11355,18,12,1293
2026-09-04T14:04:46.411000+00:00,11355,22,7,1293
2026-09-04T14:04:46.411000+00:00,11355,27,11,1293
2026-09-04T14:04:46.411000+00:00,11355,30,4,1293
2026-09-04T14:04:46.411000+00:00,11355,31,14,1293
2026-09-04T14:04:46.411000+00:00,11355,43,9,1293
2026-09-04T14:04:46.411000+00:00,11355,44,2,1293
2026-09-04T14:04:46.411000+00:00,11355,55,8,1293
2026-09-04T14:04:46.411000+00:00,11355,77,13,1293
2026-09-04T14:04:46.411000+00:00,11355,81,3,1293
2026-09-04T14:04:46.411000+00:00,11355,87,10,1293
2026-09-04T14:04:51.793000+00:00,11355,3,7,1293
2026-09-04T14:04:51.793000+00:00,11355,5,6,1293
2026-09-04T14:04:51.793000+00:00,11355,12,1,1293
2026-09-04T14:04:51.793000+00:00,11355,16,2,1293
2026-09-04T14:04:51.793000+00:00,11355,18,13,1293
2026-09-04T14:04:51.793000+00:00,11355,22,8,1293
2026-09-04T14:04:51.793000+00:00,11355,27,12,1293
2026-09-04T14:04:51.793000+00:00,11355,30,5,1293
2026-09-04T14:04:51.793000+00:00,11355,31,15,1293
2026-09-04T14:04:51.793000+00:00,11355,43,10,1293
2026-09-04T14:04:51.793000+00:00,11355,44,3,1293
2026-09-04T14:04:51.793000+00:00,11355,55,9,1293
2026-09-04T14:04:51.793000+00:00,11355,77,14,1293
2026-09-04T14:04:51.793000+00:00,11355,81,4,1293
2026-09-04T14:04:51.793000+00:00,11355,87,11,1293
2026-09-04T14:04:59.840000+00:00,11355,1,17,1293
2026-09-04T14:04:59.840000+00:00,11355,3,8,1293
2026-09-04T14:04:59.840000+00:00,11355,5,7,1293
2026-09-04T14:04:59.840000+00:00,11355,18,14,1293
2026-09-04T14:04:59.840000+00:00,11355,22,9,1293
