date,session_key,meeting_key,interval,driver_number,gap_to_leader
2026-06-14T13:04:49.199000+00:00,11307,1287,0.703,30,5.365
2026-06-14T13:04:49.340000+00:00,11307,1287,0.401,31,8.609
2026-06-14T13:04:49.355000+00:00,11307,1287,0.895,12,2.104
2026-06-14T13:04:49.371000+00:00,11307,1287,,5,8.669
2026-06-14T13:04:49.808000+00:00,11307,1287,0.488,23,9.157
2026-06-14T13:04:49.856000+00:00,11307,1287,0.623,41,5.988
2026-06-14T13:04:49.964000+00:00,11307,1287,0.628,1,2.732
2026-06-14T13:04:50.058000+00:00,11307,1287,0.208,11,9.365
2026-06-14T13:04:50.183000+00:00,11307,1287,0.326,27,6.314
2026-06-14T13:04:50.621000+00:00,11307,1287,1.178,44,1.178
2026-06-14T13:04:50.683000+00:00,11307,1287,0.645,77,10.01
2026-06-14T13:04:50.777000+00:00,11307,1287,0.798,3,3.53
2026-06-14T13:04:50.777000+00:00,11307,1287,0.608,43,6.922
2026-06-14T13:04:51.261000+00:00,11307,1287,0.521,81,4.051
2026-06-14T13:04:51.355000+00:00,11307,1287,0.492,10,7.414
2026-06-14T13:04:51.371000+00:00,11307,1287,0.585,18,10.595
2026-06-14T13:04:51.543000+00:00,11307,1287,0.93,12,2.108
2026-06-14T13:04:51.574000+00:00,11307,1287,0.318,55,7.732
2026-06-14T13:04:51.996000+00:00,11307,1287,0.716,16,4.767
2026-06-14T13:04:52.230000+00:00,11307,1287,0.67,1,2.778
2026-06-14T13:04:52.230000+00:00,11307,1287,0.657,6,8.389
2026-06-14T13:04:52.464000+00:00,11307,1287,0.226,87,8.615
2026-06-14T13:04:52.511000+00:00,11307,1287,1.192,14,11.787
2026-06-14T13:04:52.621000+00:00,11307,1287,0.0,63,0.0
2026-06-14T13:04:52.746000+00:00,11307,1287,0.724,30,5.491
2026-06-14T13:04:52.746000+00:00,11307,1287,0.253,31,8.868
2026-06-14T13:04:52.949000+00:00,11307,1287,0.238,5,9.106
