date,session_key,driver_number,position,meeting_key
2026-06-12T15:31:10.517000+00:00,11301,6,8,1287
2026-06-12T15:31:10.517000+00:00,11301,12,11,1287
2026-06-12T15:31:10.517000+00:00,11301,27,9,1287
2026-06-12T15:31:10.517000+00:00,11301,30,12,1287
2026-06-12T15:31:10.517000+00:00,11301,31,16,1287
2026-06-12T15:31:10.517000+00:00,11301,43,14,1287
2026-06-12T15:31:10.517000+00:00,11301,44,15,1287
2026-06-12T15:31:10.517000+00:00,11301,55,13,1287
2026-06-12T15:31:10.517000+00:00,11301,87,10,1287
2026-06-12T15:31:17.830000+00:00,11301,6,9,1287
2026-06-12T15:31:17.830000+00:00,11301,12,12,1287
2026-06-12T15:31:17.830000+00:00,11301,27,10,1287
2026-06-12T15:31:17.830000+00:00,11301,30,13,1287
2026-06-12T15:31:17.830000+00:00,11301,43,15,1287
2026-06-12T15:31:17.830000+00:00,11301,44,8,1287
2026-06-12T15:31:17.830000+00:00,11301,55,14,1287
2026-06-12T15:31:17.830000+00:00,11301,87,11,1287
2026-06-12T15:31:31.591000+00:00,11301,16,3,1287
2026-06-12T15:31:31.591000+00:00,11301,63,1,1287
2026-06-12T15:31:31.591000+00:00,11301,81,2,1287
2026-06-12T15:31:41.752000+00:00,11301,1,7,1287
2026-06-12T15:31:41.752000+00:00,11301,3,5,1287
2026-06-12T15:31:41.752000+00:00,11301,5,8,1287
2026-06-12T15:31:41.752000+00:00,11301,6,10,1287
2026-06-12T15:31:41.752000+00:00,11301,12,4,1287
2026-06-12T15:31:41.752000+00:00,11301,27,11,1287
2026-06-12T15:31:41.752000+00:00,11301,41,6,1287
2026-06-12T15:31:41.752000+00:00,11301,44,9,1287
2026-06-12T15:31:41.752000+00:00,11301,87,12,1287
2026-06-12T15:33:17.025000+00:00,11301,14,20,1287
2026-06-12T15:33:17.025000+00:00,11301,18,21,1287
2026-06-12T15:33:23.091000+00:00,11301,10,16,1287
2026-06-12T15:33:23.091000+00:00,11301,31,17,1287
2026-06-12T15:36:43.694000+00:00,11301,1,1,1287
2026-06-12T15:36:43.694000+00:00,11301,3,6,1287
2026-06-12T15:36:43.694000+00:00,11301,12,5,1287
2026-06-12T15:36:43.694000+00:00,11301,16,4,1287
2026-06-12T15:36:43.694000+00:00,11301,41,7,1287
2026-06-12T15:36:43.694000+00:00,11301,63,2,1287
2026-06-12T15:36:43.694000+00:00,11301,81,3,1287
2026-06-12T15:36:57.882000+00:00,11301,11,20,1287
2026-06-12T15:36:57.882000+00:00,11301,14,21,1287
2026-06-12T15:36:57.882000+00:00,11301,18,22,1287
2026-06-12T15:36:57.882000+00:00,11301,23,19,1287
2026-06-12T15:36:57.882000+00:00,11301,77,18,1287
