path,size_bytes,category,recommended_action,reason,path_length
LIVE_SOURCE_FEED_CAPTURE_CRON_HOTFIX_MANIFEST.csv,391,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,103
LIVE_SOURCE_FEED_CAPTURE_DIAGNOSTICS_HARDENING_HOTFIX_MANIFEST.csv,462,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,120
LIVE_SOURCE_FEED_CAPTURE_FASTF1_PY39_COMPAT_HOTFIX_MANIFEST.csv,602,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,117
LIVE_SOURCE_FEED_CAPTURE_MANUAL_VALIDATION_HOTFIX_MANIFEST.csv,369,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,116
LIVE_SOURCE_FEED_CAPTURE_PATCH_MANIFEST.csv,1026,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,97
LIVE_SOURCE_FEED_CAPTURE_UTC_COMPAT_HOTFIX_MANIFEST.csv,442,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,109
MANIFEST.csv,259,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,66
OPENF1_LIGHTWEIGHT_SOURCE_CLOSURE_PATCH_MANIFEST.csv,684,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,106
OPERATIONAL_USE_ALL5_PATCH_MANIFEST.csv,1466,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,93
PATCH_MANIFEST_v26.json,1121,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,77
PATCH_MANIFEST_v27.json,756,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,77
README_GITHUB_OPENF1_AUTO_INGEST.md,2267,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,89
README_START_HERE.txt,599,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,75
README_START_HERE_v4.txt,622,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,78
README_START_HERE_v5.txt,178,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,78
README_START_HERE_v6.txt,156,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,78
SANDBOX_VALIDATION_v26.json,1105,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,81
SEASON_ARCHIVE_EXPANDED_PATCH_MANIFEST.csv,462,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,96
SEASON_ARCHIVE_PUBLISHER_PATCH_MANIFEST.csv,922,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,97
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/AUTO_REPAIR_ORCHESTRATOR_DESIGN.md,1225,archive,keep,Archive/historical area; review before deeper moves.,157
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/IMPLEMENTATION_SCORECARD_AutoRepairOrchestrator_2026-06-12.md,505,archive,keep,Archive/historical area; review before deeper moves.,184
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/PROMOTION_GATE_REPORT_AutoRepairOrchestrator_2026-06-12.md,391,archive,keep,Archive/historical area; review before deeper moves.,181
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/README.md,1221,archive,keep,Archive/historical area; review before deeper moves.,132
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/SESSION_TO_WORKBOOK_RECOVERY_FLOW.md,1012,archive,keep,Archive/historical area; review before deeper moves.,159
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/VALIDATION_REPORT_AutoRepairOrchestrator_2026-06-12.md,673,archive,keep,Archive/historical area; review before deeper moves.,177
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/installer/RUN_F1_AUTOREPAIR_ORCHESTRATOR_WINDOWS.bat,2573,archive,keep,Archive/historical area; review before deeper moves.,175
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/manifests/package_manifest.csv,1838,archive,keep,Archive/historical area; review before deeper moves.,153
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/payload/.github/workflows/f1-autorepair-run-now-button-v1.yml,2865,archive,keep,Archive/historical area; review before deeper moves.,184
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/payload/.github/workflows/f1-autorepair-safe-test-button-v1.yml,910,archive,keep,Archive/historical area; review before deeper moves.,186
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/payload/.github/workflows/f1-autorepair-scheduled-session-workbook-recovery-v1.yml,2521,archive,keep,Archive/historical area; review before deeper moves.,205
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/payload/configs/autorepair/repair_catalog_v1.json,2248,archive,keep,Archive/historical area; review before deeper moves.,172
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/payload/schemas/autorepair/autorepair_report_v1.schema.json,853,archive,keep,Archive/historical area; review before deeper moves.,182
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/payload/scripts/autorepair/f1_autorepair_orchestrator_v1.py,18029,archive,keep,Archive/historical area; review before deeper moves.,182
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/sample_outputs/autorepair_status_SAMPLE.json,467,archive,keep,Archive/historical area; review before deeper moves.,167
_archive/Engine_2026-06-11_SANDBOX_AutoRepairOrchestrator_2026-06-12/validation/local_validation_result.json,1368,archive,keep,Archive/historical area; review before deeper moves.,162
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/AUTO_REPAIR_SCHEDULED_INTEGRATION_DESIGN.md,758,archive,keep,Archive/historical area; review before deeper moves.,174
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/IMPLEMENTATION_SCORECARD_AutoRepairScheduledIntegration_2026-06-12.md,575,archive,keep,Archive/historical area; review before deeper moves.,200
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/PROMOTION_GATE_REPORT_AutoRepairScheduledIntegration_2026-06-12.md,505,archive,keep,Archive/historical area; review before deeper moves.,197
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/README.md,1728,archive,keep,Archive/historical area; review before deeper moves.,140
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/SESSION_PROCESSOR_AUTOREPAIR_FLOW.md,871,archive,keep,Archive/historical area; review before deeper moves.,167
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/VALIDATION_REPORT_AutoRepairScheduledIntegration_2026-06-12.md,944,archive,keep,Archive/historical area; review before deeper moves.,193
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/installer/RUN_F1_AUTOREPAIR_SCHEDULED_INTEGRATION_WINDOWS.bat,1352,archive,keep,Archive/historical area; review before deeper moves.,192
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/manifests/package_manifest.csv,2498,archive,keep,Archive/historical area; review before deeper moves.,161
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/payload/.github/workflows/f1-session-autorepair-integrated-loop-v1.yml,5882,archive,keep,Archive/historical area; review before deeper moves.,201
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/payload/.github/workflows/f1-session-autorepair-integrated-run-now-button-v1.yml,3664,archive,keep,Archive/historical area; review before deeper moves.,211
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/payload/.github/workflows/f1-session-autorepair-integrated-safe-test-button-v1.yml,1444,archive,keep,Archive/historical area; review before deeper moves.,213
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/payload/configs/autorepair/repair_catalog_v1.json,2248,archive,keep,Archive/historical area; review before deeper moves.,180
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/payload/configs/workbook_kpi_refresh/workbook_kpi_refresh_policy_v1.json,1455,archive,keep,Archive/historical area; review before deeper moves.,203
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/payload/schemas/sandbox_workbook_update_plan_schema_v1.json,1620,archive,keep,Archive/historical area; review before deeper moves.,190
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/payload/schemas/workbook_kpi_refresh_manifest_schema_v1.json,620,archive,keep,Archive/historical area; review before deeper moves.,191
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/payload/scripts/autorepair/f1_autorepair_orchestrator_v1.py,18759,archive,keep,Archive/historical area; review before deeper moves.,190
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/payload/scripts/autorepair/health_check_autorepair_scheduled_integration_v1.py,2010,archive,keep,Archive/historical area; review before deeper moves.,209
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/payload/scripts/session_data_processor/session_data_processor_loop_v1.py,28099,archive,keep,Archive/historical area; review before deeper moves.,203
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/payload/scripts/workbook_kpi_refresh/apply_workbook_kpi_refresh_v1.py,24444,archive,keep,Archive/historical area; review before deeper moves.,200
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_2026-06-12/validation/local_validation_result.json,368,archive,keep,Archive/historical area; review before deeper moves.,170
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_SafeTestBoolean_Fix_2026-06-12/IMPLEMENTATION_SCORECARD.md,368,archive,keep,Archive/historical area; review before deeper moves.,178
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_SafeTestBoolean_Fix_2026-06-12/PROMOTION_GATE_REPORT.md,228,archive,keep,Archive/historical area; review before deeper moves.,175
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_SafeTestBoolean_Fix_2026-06-12/README.md,1160,archive,keep,Archive/historical area; review before deeper moves.,160
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_SafeTestBoolean_Fix_2026-06-12/VALIDATION_REPORT.md,687,archive,keep,Archive/historical area; review before deeper moves.,171
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_SafeTestBoolean_Fix_2026-06-12/installer/RUN_F1_AUTOREPAIR_INTEGRATED_SAFETEST_BOOLEAN_FIX_WINDOWS.bat,1008,archive,keep,Archive/historical area; review before deeper moves.,222
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_SafeTestBoolean_Fix_2026-06-12/manifests/package_manifest.csv,670,archive,keep,Archive/historical area; review before deeper moves.,181
_archive/Engine_2026-06-11_SANDBOX_AutoRepairScheduledIntegration_SafeTestBoolean_Fix_2026-06-12/payload/scripts/session_data_processor/session_data_processor_loop_v1.py,28607,archive,keep,Archive/historical area; review before deeper moves.,223
