date,session_key,lap_number,driver_number,stop_duration,lane_duration,pit_duration,meeting_key,source_closure_retrieved_utc
2026-07-03T15:49:36.543000+00:00,11317,7,1,,305.0,305.0,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:49:41.543000+00:00,11317,7,5,,364.6,364.6,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:49:49.229000+00:00,11317,4,81,,697.5,697.5,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:50:08.120000+00:00,11317,6,16,,586.1,586.1,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:50:11.894000+00:00,11317,7,44,,457.7,457.7,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:50:29.268000+00:00,11317,7,12,,470.3,470.3,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:50:36.741000+00:00,11317,7,63,,443.3,443.3,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:54:15.614000+00:00,11317,7,30,,678.8,678.8,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:54:19.893000+00:00,11317,7,41,,632.5,632.5,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:54:24.358000+00:00,11317,7,10,,622.8,622.8,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:54:26.968000+00:00,11317,7,43,,579.8,579.8,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:55:28.130000+00:00,11317,10,1,,32.8,32.8,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:55:50.842000+00:00,11317,11,55,,107.1,107.1,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:55:58.126000+00:00,11317,10,27,,108.6,108.6,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:56:10.106000+00:00,11317,10,5,,65.6,65.6,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:56:33.648000+00:00,11317,10,12,,54.7,54.7,1289,2026-09-06T22:37:17.103821Z
2026-07-03T15:56:40.495000+00:00,11317,11,23,,122.5,122.5,1289,2026-09-06T22:37:17.103821Z
2026-07-03T16:10:49.149000+00:00,11317,10,81,,616.5,616.5,1289,2026-09-06T22:37:17.103821Z
2026-07-03T16:10:53.933000+00:00,11317,10,41,,667.3,667.3,1289,2026-09-06T22:37:17.103821Z
2026-07-03T16:10:58.546000+00:00,11317,13,1,,621.4,621.4,1289,2026-09-06T22:37:17.103821Z
2026-07-03T16:11:01.956000+00:00,11317,10,30,,695.4,695.4,1289,2026-09-06T22:37:17.103821Z
2026-07-03T16:11:07.006000+00:00,11317,13,12,,566.6,566.6,1289,2026-09-06T22:37:17.103821Z
2026-07-03T16:11:10.107000+00:00,11317,12,16,,611.4,611.4,1289,2026-09-06T22:37:17.103821Z
2026-07-03T16:11:22.166000+00:00,11317,12,44,,731.6,731.6,1289,2026-09-06T22:37:17.103821Z
2026-07-03T16:11:32.581000+00:00,11317,10,3,,1023.8,1023.8,1289,2026-09-06T22:37:17.103821Z
2026-07-03T16:11:42.276000+00:00,11317,12,6,,677.0,677.0,1289,2026-09-06T22:37:17.103821Z
2026-07-03T16:11:55.242000+00:00,11317,13,63,,642.0,642.0,1289,2026-09-06T22:37:17.103821Z
2026-07-05T14:06:54.499000+00:00,11326,1,23,,44.1,44.1,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:08:15.448000+00:00,11326,2,81,,40.5,40.5,1289,2026-09-06T22:38:13.434275Z
