lane,meeting_key,session_key,session_name,session_type,applicable,rows,status
race_control,1285,11291,Race,Race,True,287,pass
intervals,1285,11291,Race,Race,True,22532,pass
position,1285,11291,Race,Race,True,470,pass
stints,1285,11291,Race,Race,True,56,pass
pit,1285,11291,Race,Race,True,34,pass
starting_grid,1285,11291,Race,Race,True,0,zero_rows
drivers,1285,11291,Race,Race,True,22,pass
team_radio,1285,11291,Race,Race,True,33,pass
weather,1286,11292,Practice 1,Practice,True,80,pass
race_control,1286,11292,Practice 1,Practice,True,130,pass
intervals,1286,11292,Practice 1,Practice,True,0,zero_rows
position,1286,11292,Practice 1,Practice,True,1015,pass
stints,1286,11292,Practice 1,Practice,True,81,pass
pit,1286,11292,Practice 1,Practice,False,0,skipped_not_applicable
starting_grid,1286,11292,Practice 1,Practice,True,0,zero_rows
drivers,1286,11292,Practice 1,Practice,True,22,pass
team_radio,1286,11292,Practice 1,Practice,True,0,zero_rows
weather,1286,11293,Practice 2,Practice,True,80,pass
race_control,1286,11293,Practice 2,Practice,True,110,pass
intervals,1286,11293,Practice 2,Practice,True,0,zero_rows
position,1286,11293,Practice 2,Practice,True,816,pass
stints,1286,11293,Practice 2,Practice,True,91,pass
pit,1286,11293,Practice 2,Practice,False,0,skipped_not_applicable
starting_grid,1286,11293,Practice 2,Practice,True,0,zero_rows
drivers,1286,11293,Practice 2,Practice,True,22,pass
team_radio,1286,11293,Practice 2,Practice,True,0,zero_rows
weather,1286,11294,Practice 3,Practice,True,79,pass
race_control,1286,11294,Practice 3,Practice,True,73,pass
intervals,1286,11294,Practice 3,Practice,True,0,zero_rows
position,1286,11294,Practice 3,Practice,True,0,zero_rows
stints,1286,11294,Practice 3,Practice,True,0,zero_rows
pit,1286,11294,Practice 3,Practice,False,0,skipped_not_applicable
starting_grid,1286,11294,Practice 3,Practice,True,0,zero_rows
drivers,1286,11294,Practice 3,Practice,True,0,zero_rows
team_radio,1286,11294,Practice 3,Practice,True,0,zero_rows
weather,1286,11295,Qualifying,Qualifying,True,0,zero_rows
race_control,1286,11295,Qualifying,Qualifying,True,0,zero_rows
intervals,1286,11295,Qualifying,Qualifying,True,0,zero_rows
position,1286,11295,Qualifying,Qualifying,True,0,zero_rows
stints,1286,11295,Qualifying,Qualifying,True,0,zero_rows
pit,1286,11295,Qualifying,Qualifying,False,0,skipped_not_applicable
starting_grid,1286,11295,Qualifying,Qualifying,True,0,zero_rows
drivers,1286,11295,Qualifying,Qualifying,True,0,zero_rows
team_radio,1286,11295,Qualifying,Qualifying,True,0,zero_rows
weather,1286,11299,Race,Race,True,0,zero_rows
race_control,1286,11299,Race,Race,True,0,zero_rows
intervals,1286,11299,Race,Race,True,0,zero_rows
position,1286,11299,Race,Race,True,0,zero_rows
stints,1286,11299,Race,Race,True,0,zero_rows
pit,1286,11299,Race,Race,True,0,zero_rows
starting_grid,1286,11299,Race,Race,True,0,zero_rows
drivers,1286,11299,Race,Race,True,0,zero_rows
team_radio,1286,11299,Race,Race,True,0,zero_rows
weather,1287,11300,Practice 1,Practice,True,0,zero_rows
race_control,1287,11300,Practice 1,Practice,True,0,zero_rows
intervals,1287,11300,Practice 1,Practice,True,0,zero_rows
position,1287,11300,Practice 1,Practice,True,0,zero_rows
stints,1287,11300,Practice 1,Practice,True,0,zero_rows
pit,1287,11300,Practice 1,Practice,False,0,skipped_not_applicable
starting_grid,1287,11300,Practice 1,Practice,True,0,zero_rows
drivers,1287,11300,Practice 1,Practice,True,13,pass
team_radio,1287,11300,Practice 1,Practice,True,6,pass
weather,1287,11301,Practice 2,Practice,True,85,pass
race_control,1287,11301,Practice 2,Practice,True,52,pass
intervals,1287,11301,Practice 2,Practice,True,0,zero_rows
position,1287,11301,Practice 2,Practice,True,424,pass
stints,1287,11301,Practice 2,Practice,True,118,pass
pit,1287,11301,Practice 2,Practice,False,0,skipped_not_applicable
starting_grid,1287,11301,Practice 2,Practice,True,0,zero_rows
drivers,1287,11301,Practice 2,Practice,True,22,pass
team_radio,1287,11301,Practice 2,Practice,True,0,zero_rows
weather,1287,11302,Practice 3,Practice,True,0,zero_rows
race_control,1287,11302,Practice 3,Practice,True,0,zero_rows
intervals,1287,11302,Practice 3,Practice,True,0,zero_rows
position,1287,11302,Practice 3,Practice,True,0,zero_rows
stints,1287,11302,Practice 3,Practice,True,0,zero_rows
pit,1287,11302,Practice 3,Practice,False,0,skipped_not_applicable
starting_grid,1287,11302,Practice 3,Practice,True,0,zero_rows
drivers,1287,11302,Practice 3,Practice,True,0,zero_rows
team_radio,1287,11302,Practice 3,Practice,True,0,zero_rows
weather,1287,11303,Qualifying,Qualifying,True,0,zero_rows
race_control,1287,11303,Qualifying,Qualifying,True,0,zero_rows
intervals,1287,11303,Qualifying,Qualifying,True,0,zero_rows
position,1287,11303,Qualifying,Qualifying,True,0,zero_rows
stints,1287,11303,Qualifying,Qualifying,True,0,zero_rows
pit,1287,11303,Qualifying,Qualifying,False,0,skipped_not_applicable
starting_grid,1287,11303,Qualifying,Qualifying,True,0,zero_rows
drivers,1287,11303,Qualifying,Qualifying,True,0,zero_rows
team_radio,1287,11303,Qualifying,Qualifying,True,0,zero_rows
weather,1287,11307,Race,Race,True,0,zero_rows
race_control,1287,11307,Race,Race,True,0,zero_rows
intervals,1287,11307,Race,Race,True,0,zero_rows
position,1287,11307,Race,Race,True,0,zero_rows
stints,1287,11307,Race,Race,True,0,zero_rows
pit,1287,11307,Race,Race,True,0,zero_rows
starting_grid,1287,11307,Race,Race,True,0,zero_rows
drivers,1287,11307,Race,Race,True,0,zero_rows
team_radio,1287,11307,Race,Race,True,0,zero_rows
weather,1288,11308,Practice 1,Practice,True,0,zero_rows
race_control,1288,11308,Practice 1,Practice,True,0,zero_rows
intervals,1288,11308,Practice 1,Practice,True,0,zero_rows
position,1288,11308,Practice 1,Practice,True,0,zero_rows
stints,1288,11308,Practice 1,Practice,True,0,zero_rows
pit,1288,11308,Practice 1,Practice,False,0,skipped_not_applicable
starting_grid,1288,11308,Practice 1,Practice,True,0,zero_rows
drivers,1288,11308,Practice 1,Practice,True,22,pass
team_radio,1288,11308,Practice 1,Practice,True,13,pass
weather,1288,11309,Practice 2,Practice,True,81,pass
race_control,1288,11309,Practice 2,Practice,True,53,pass
intervals,1288,11309,Practice 2,Practice,True,0,zero_rows
position,1288,11309,Practice 2,Practice,True,509,pass
stints,1288,11309,Practice 2,Practice,True,109,pass
pit,1288,11309,Practice 2,Practice,False,0,skipped_not_applicable
starting_grid,1288,11309,Practice 2,Practice,True,0,zero_rows
