date,session_key,meeting_key,driver_number,gap_to_leader,interval
2026-06-28T13:04:35.085000+00:00,11315,1288,44,0.804,0.804
2026-06-28T13:04:35.119000+00:00,11315,1288,11,7.315,0.295
2026-06-28T13:04:35.325000+00:00,11315,1288,27,6.042,0.496
2026-06-28T13:04:35.329000+00:00,11315,1288,81,3.115,0.487
2026-06-28T13:04:35.651000+00:00,11315,1288,87,6.379,0.337
2026-06-28T13:04:35.698000+00:00,11315,1288,1,3.51,0.395
2026-06-28T13:04:35.747000+00:00,11315,1288,14,7.959,0.644
2026-06-28T13:04:35.785000+00:00,11315,1288,44,0.8,0.8
2026-06-28T13:04:35.798000+00:00,11315,1288,16,1.521,0.717
2026-06-28T13:04:35.977000+00:00,11315,1288,43,8.192,0.233
2026-06-28T13:04:36.028000+00:00,11315,1288,55,6.782,0.403
2026-06-28T13:04:36.195000+00:00,11315,1288,30,4.011,0.501
2026-06-28T13:04:36.225000+00:00,11315,1288,12,1.95,0.429
2026-06-28T13:04:36.269000+00:00,11315,1288,77,8.496,0.304
2026-06-28T13:04:36.476000+00:00,11315,1288,23,7.201,0.419
