date,session_key,driver_number,gap_to_leader,meeting_key,interval
2026-07-26T13:04:33.349000+00:00,11342,1,0.878,1291,0.878
2026-07-26T13:04:33.474000+00:00,11342,77,9.283,1291,0.404
2026-07-26T13:04:33.646000+00:00,11342,43,6.62,1291,0.713
2026-07-26T13:04:33.912000+00:00,11342,14,6.906,1291,0.286
2026-07-26T13:04:33.974000+00:00,11342,11,9.777,1291,0.494
2026-07-26T13:04:34.193000+00:00,11342,3,1.702,1291,0.824
2026-07-26T13:04:34.271000+00:00,11342,87,7.27,1291,0.364
2026-07-26T13:04:34.615000+00:00,11342,44,2.129,1291,0.427
2026-07-26T13:04:34.896000+00:00,11342,55,7.896,1291,0.626
2026-07-26T13:04:35.052000+00:00,11342,16,2.572,1291,0.443
2026-07-26T13:04:35.287000+00:00,11342,23,8.274,1291,0.378
2026-07-26T13:04:35.474000+00:00,11342,18,8.467,1291,0.193
2026-07-26T13:04:35.928000+00:00,11342,63,8.917,1291,0.45
2026-07-26T13:04:35.974000+00:00,11342,12,3.482,1291,0.91
2026-07-26T13:04:36.177000+00:00,11342,6,3.677,1291,0.195
2026-07-26T13:04:36.349000+00:00,11342,77,9.312,1291,0.395
2026-07-26T13:04:36.583000+00:00,11342,30,4.111,1291,0.434
2026-07-26T13:04:36.771000+00:00,11342,11,9.775,1291,0.463
2026-07-26T13:04:37.005000+00:00,11342,41,4.537,1291,0.426
2026-07-26T13:04:37.458000+00:00,11342,27,4.993,1291,0.456
2026-07-26T13:04:38.021000+00:00,11342,10,5.544,1291,0.551
2026-07-26T13:04:38.443000+00:00,11342,31,5.968,1291,0.424
2026-07-26T13:04:38.693000+00:00,11342,5,6.202,1291,0.234
2026-07-26T13:04:39.349000+00:00,11342,43,6.878,1291,0.676
2026-07-26T13:04:39.755000+00:00,11342,14,7.26,1291,0.382
2026-07-26T13:04:40.115000+00:00,11342,87,7.638,1291,0.378
2026-07-26T13:04:40.693000+00:00,11342,55,8.213,1291,0.575
2026-07-26T13:04:41.115000+00:00,11342,23,8.618,1291,0.405
2026-07-26T13:04:41.287000+00:00,11342,18,8.813,1291,0.195
2026-07-26T13:04:41.662000+00:00,11342,63,9.187,1291,0.374
2026-07-26T13:04:42.130000+00:00,11342,77,9.653,1291,0.466
