date,session_key,gap_to_leader,meeting_key,interval,driver_number
2026-09-13T13:05:10.685000+00:00,11369,7.672,1294,0.602,55
2026-09-13T13:05:10.857000+00:00,11369,4.729,1294,0.398,31
2026-09-13T13:05:11.013000+00:00,11369,1.675,1294,0.599,44
2026-09-13T13:05:11.185000+00:00,11369,5.04,1294,0.311,27
2026-09-13T13:05:11.404000+00:00,11369,8.317,1294,0.645,18
2026-09-13T13:05:11.513000+00:00,11369,2.184,1294,0.509,16
2026-09-13T13:05:11.669000+00:00,11369,5.483,1294,0.443,10
2026-09-13T13:05:11.794000+00:00,11369,2.472,1294,0.288,63
2026-09-13T13:05:12.154000+00:00,11369,9.085,1294,0.768,14
2026-09-13T13:05:12.232000+00:00,11369,6.105,1294,0.622,23
2026-09-13T13:05:12.513000+00:00,11369,3.176,1294,0.704,43
2026-09-13T13:05:12.560000+00:00,11369,6.426,1294,0.321,5
2026-09-13T13:05:12.950000+00:00,11369,3.622,1294,0.446,30
2026-09-13T13:05:13.185000+00:00,11369,10.118,1294,1.033,77
2026-09-13T13:05:13.263000+00:00,11369,7.121,1294,0.695,11
2026-09-13T13:05:13.357000+00:00,11369,4.037,1294,0.415,41
2026-09-13T13:05:13.419000+00:00,11369,13.298,1294,3.323,87
2026-09-13T13:05:13.669000+00:00,11369,7.536,1294,0.415,22
2026-09-13T13:05:13.841000+00:00,11369,0.753,1294,0.753,3
2026-09-13T13:05:13.841000+00:00,11369,4.5,1294,0.463,81
2026-09-13T13:05:14.232000+00:00,11369,8.096,1294,0.56,55
2026-09-13T13:05:14.232000+00:00,11369,4.906,1294,0.406,31
2026-09-13T13:05:14.357000+00:00,11369,1.278,1294,0.525,12
2026-09-13T13:05:14.482000+00:00,11369,5.168,1294,0.262,27
2026-09-13T13:05:14.763000+00:00,11369,8.623,1294,0.527,18
2026-09-13T13:05:14.841000+00:00,11369,1.759,1294,0.481,44
2026-09-13T13:05:15.060000+00:00,11369,5.724,1294,0.556,10
2026-09-13T13:05:15.419000+00:00,11369,2.288,1294,0.529,16
2026-09-13T13:05:15.520000+00:00,11369,9.325,1294,0.702,14
2026-09-13T13:05:15.676000+00:00,11369,6.327,1294,0.603,23
2026-09-13T13:05:15.775000+00:00,11369,2.631,1294,0.343,63
2026-09-13T13:05:15.919000+00:00,11369,6.584,1294,0.257,5
2026-09-13T13:05:16.428000+00:00,11369,3.337,1294,0.706,43
2026-09-13T13:05:16.473000+00:00,11369,13.366,1294,3.248,87
2026-09-13T13:05:16.557000+00:00,11369,10.434,1294,1.109,77
2026-09-13T13:05:16.638000+00:00,11369,7.306,1294,0.722,11
2026-09-13T13:05:16.839000+00:00,11369,3.763,1294,0.426,30
2026-09-13T13:05:17.076000+00:00,11369,7.756,1294,0.45,22
2026-09-13T13:05:17.281000+00:00,11369,4.198,1294,0.435,41
2026-09-13T13:05:17.705000+00:00,11369,8.36,1294,0.604,55
2026-09-13T13:05:17.739000+00:00,11369,4.684,1294,0.486,81
2026-09-13T13:05:18.203000+00:00,11369,8.876,1294,0.516,18
2026-09-13T13:05:18.259000+00:00,11369,5.177,1294,0.493,31
2026-09-13T13:05:18.520000+00:00,11369,5.435,1294,0.258,27
2026-09-13T13:05:18.817000+00:00,11369,9.485,1294,0.609,14
2026-09-13T13:05:19.017000+00:00,11369,0.868,1294,0.868,3
2026-09-13T13:05:19.117000+00:00,11369,6.033,1294,0.598,10
2026-09-13T13:05:19.702000+00:00,11369,6.575,1294,0.542,23
2026-09-13T13:05:19.705000+00:00,11369,1.536,1294,0.668,12
2026-09-13T13:05:19.717000+00:00,11369,13.569,1294,3.135,87
2026-09-13T13:05:19.927000+00:00,11369,10.612,1294,1.127,77
