date,session_key,gap_to_leader,interval,driver_number,meeting_key
2026-08-23T13:04:40.222000+00:00,11353,10.101,0.565,77,1292
2026-08-23T13:04:40.394000+00:00,11353,5.031,0.737,30,1292
2026-08-23T13:04:40.816000+00:00,11353,5.439,0.408,10,1292
2026-08-23T13:04:40.909000+00:00,11353,1.33,0.74,63,1292
2026-08-23T13:04:41.222000+00:00,11353,5.814,0.375,41,1292
2026-08-23T13:04:41.784000+00:00,11353,6.401,0.587,22,1292
2026-08-23T13:04:41.831000+00:00,11353,2.22,0.89,16,1292
2026-08-23T13:04:42.097000+00:00,11353,6.729,0.328,43,1292
2026-08-23T13:04:42.612000+00:00,11353,12.477,2.376,11,1292
2026-08-23T13:04:42.784000+00:00,11353,3.208,0.988,81,1292
2026-08-23T13:04:42.800000+00:00,11353,7.396,0.667,5,1292
2026-08-23T13:04:43.284000+00:00,11353,3.683,0.475,44,1292
2026-08-23T13:04:43.331000+00:00,11353,7.944,0.548,27,1292
2026-08-23T13:04:43.784000+00:00,11353,8.397,0.453,23,1292
2026-08-23T13:04:44.003000+00:00,11353,4.426,0.743,3,1292
2026-08-23T13:04:44.144000+00:00,11353,8.762,0.365,31,1292
2026-08-23T13:04:44.597000+00:00,11353,9.213,0.451,14,1292
