date,session_key,meeting_key,driver_number,gap_to_leader,interval,source_closure_retrieved_utc
2026-07-04T11:04:41.064000+00:00,11321,1289,1,0.766,0.184,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:41.314000+00:00,11321,1289,18,6.12,0.412,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:41.486000+00:00,11321,1289,11,6.323,0.203,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:41.658000+00:00,11321,1289,81,1.349,0.583,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:41.814000+00:00,11321,1289,77,6.65,0.327,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:42.096000+00:00,11321,1289,63,1.772,0.423,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:42.236000+00:00,11321,1289,3,1.924,0.152,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:42.908000+00:00,11321,1289,10,2.633,0.709,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:43.111000+00:00,11321,1289,16,2.798,0.165,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:43.424000+00:00,11321,1289,43,3.117,0.319,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:43.799000+00:00,11321,1289,30,3.473,0.356,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:43.814000+00:00,11321,1289,41,3.493,0.02,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:44.267000+00:00,11321,1289,6,3.933,0.44,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:44.439000+00:00,11321,1289,87,4.12,0.187,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:45.174000+00:00,11321,1289,27,4.86,0.74,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:45.408000+00:00,11321,1289,31,5.095,0.235,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:45.580000+00:00,11321,1289,23,10.412,3.762,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:45.845000+00:00,11321,1289,55,5.528,0.433,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:46.080000+00:00,11321,1289,5,5.766,0.238,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:46.299000+00:00,11321,1289,12,0.687,0.687,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:46.377000+00:00,11321,1289,1,0.769,0.082,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:46.549000+00:00,11321,1289,14,6.204,0.438,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:46.955000+00:00,11321,1289,18,6.658,0.454,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:46.986000+00:00,11321,1289,81,1.377,0.608,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:47.377000+00:00,11321,1289,11,7.052,0.394,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:47.484000+00:00,11321,1289,63,1.851,0.474,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:47.546000+00:00,11321,1289,77,7.235,0.183,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:47.571000+00:00,11321,1289,3,1.959,0.108,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:48.480000+00:00,11321,1289,10,2.89,0.931,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:48.527000+00:00,11321,1289,16,2.921,0.031,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:48.824000+00:00,11321,1289,43,3.228,0.307,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:49.058000+00:00,11321,1289,30,3.457,0.229,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:49.386000+00:00,11321,1289,41,3.507,0.05,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:49.652000+00:00,11321,1289,6,4.039,0.532,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:49.745000+00:00,11321,1289,87,4.143,0.104,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:50.136000+00:00,11321,1289,1,0.698,0.698,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:50.339000+00:00,11321,1289,12,0.921,0.223,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:50.589000+00:00,11321,1289,27,4.97,0.827,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:50.714000+00:00,11321,1289,31,5.122,0.152,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:50.777000+00:00,11321,1289,81,1.338,0.417,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:51.089000+00:00,11321,1289,23,10.755,3.52,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:51.230000+00:00,11321,1289,63,1.784,0.446,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:51.293000+00:00,11321,1289,55,5.676,0.554,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:51.339000+00:00,11321,1289,3,1.903,0.119,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:51.589000+00:00,11321,1289,5,5.982,0.306,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:52.152000+00:00,11321,1289,14,6.542,0.56,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:52.277000+00:00,11321,1289,16,2.862,0.959,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:52.511000+00:00,11321,1289,18,6.894,0.352,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:52.542000+00:00,11321,1289,10,3.127,0.265,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:52.730000+00:00,11321,1289,30,3.295,0.168,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:52.808000+00:00,11321,1289,11,7.197,0.303,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:52.839000+00:00,11321,1289,43,3.378,0.083,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:52.949000+00:00,11321,1289,41,3.521,0.143,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:52.964000+00:00,11321,1289,77,7.364,0.167,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:53.433000+00:00,11321,1289,6,3.992,0.471,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:53.620000+00:00,11321,1289,87,4.195,0.203,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:54.245000+00:00,11321,1289,1,0.906,0.906,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:54.511000+00:00,11321,1289,27,4.959,0.764,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:54.527000+00:00,11321,1289,31,5.016,0.057,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:54.542000+00:00,11321,1289,12,1.241,0.335,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:54.792000+00:00,11321,1289,81,1.503,0.262,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:55.183000+00:00,11321,1289,55,5.717,0.701,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:55.245000+00:00,11321,1289,63,1.97,0.467,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:55.511000+00:00,11321,1289,5,6.085,0.368,2026-08-23T07:52:07.178280Z
